sce,species,iter,ts,n,bins
sce_37,BLBR,5,0,154,4.2245376148381135
sce_37,BLBR,5,0,139,4.2449138811846385
sce_37,BLBR,5,0,151,4.265290147531164
sce_37,BLBR,5,0,146,4.285666413877689
sce_37,BLBR,5,0,153,4.306042680224214
sce_37,BLBR,5,0,192,4.32641894657074
sce_37,BLBR,5,0,168,4.346795212917266
sce_37,BLBR,5,0,180,4.36717147926379
sce_37,BLBR,5,0,139,4.387547745610316
sce_37,BLBR,5,0,168,4.407924011956842
sce_37,BLBR,5,0,143,4.428300278303366
sce_37,BLBR,5,0,185,4.448676544649892
sce_37,BLBR,5,0,144,4.469052810996418
sce_37,BLBR,5,0,174,4.489429077342943
sce_37,BLBR,5,0,171,4.509805343689468
sce_37,BLBR,5,0,168,4.530181610035994
sce_37,BLBR,5,0,163,4.550557876382519
sce_37,BLBR,5,0,160,4.570934142729044
sce_37,BLBR,5,0,175,4.59131040907557
sce_37,BLBR,5,0,168,4.611686675422095
sce_37,BLBR,5,0,178,4.63206294176862
sce_37,BLBR,5,0,160,4.652439208115146
sce_37,BLBR,5,0,198,4.672815474461671
sce_37,BLBR,5,0,179,4.693191740808196
sce_37,BLBR,5,0,159,4.713568007154722
sce_37,BLBR,5,0,164,4.733944273501247
sce_37,BLBR,5,0,199,4.754320539847772
sce_37,BLBR,5,0,179,4.774696806194298
sce_37,BLBR,5,0,192,4.795073072540823
sce_37,BLBR,5,0,201,4.815449338887348
sce_37,BLBR,5,0,206,4.8358256052338735
sce_37,BLBR,5,0,195,4.8562018715803985
sce_37,BLBR,5,0,204,4.876578137926924
sce_37,BLBR,5,0,233,4.896954404273449
sce_37,BLBR,5,0,231,4.917330670619974
sce_37,BLBR,5,0,265,4.9377069369665
sce_37,BLBR,5,0,258,4.958083203313025
sce_37,BLBR,5,0,329,4.97845946965955
sce_37,BLBR,5,0,343,4.998835736006076
sce_37,BLBR,5,0,336,5.019212002352601
sce_37,BLBR,5,0,326,5.039588268699126
sce_37,BLBR,5,0,360,5.059964535045652
sce_37,BLBR,5,0,347,5.080340801392177
sce_37,BLBR,5,0,378,5.100717067738702
sce_37,BLBR,5,0,376,5.121093334085228
sce_37,BLBR,5,0,363,5.141469600431753
sce_37,BLBR,5,0,408,5.161845866778278
sce_37,BLBR,5,0,481,5.182222133124804
sce_37,BLBR,5,0,462,5.202598399471329
sce_37,BLBR,5,0,416,5.222974665817855
sce_37,BLBR,5,0,420,5.24335093216438
sce_37,BLBR,5,0,419,5.263727198510905
sce_37,BLBR,5,0,450,5.284103464857431
sce_37,BLBR,5,0,497,5.304479731203956
sce_37,BLBR,5,0,574,5.324855997550481
sce_37,BLBR,5,0,548,5.345232263897007
sce_37,BLBR,5,0,624,5.365608530243532
sce_37,BLBR,5,0,897,5.385984796590057
sce_37,BLBR,5,0,1089,5.406361062936583
sce_37,BLBR,5,0,1028,5.426737329283108
sce_37,BLBR,5,0,931,5.447113595629633
sce_37,BLBR,5,0,821,5.4674898619761585
sce_37,BLBR,5,0,754,5.4878661283226835
sce_37,BLBR,5,0,684,5.508242394669209
sce_37,BLBR,5,0,640,5.528618661015734
sce_37,BLBR,5,0,626,5.548994927362259
sce_37,BLBR,5,0,706,5.569371193708785
sce_37,BLBR,5,0,663,5.58974746005531
sce_37,BLBR,5,0,685,5.610123726401835
sce_37,BLBR,5,0,670,5.630499992748361
sce_37,BLBR,5,0,670,5.650876259094886
sce_37,BLBR,5,0,636,5.671252525441411
sce_37,BLBR,5,0,686,5.691628791787937
sce_37,BLBR,5,0,718,5.712005058134462
sce_37,BLBR,5,0,702,5.732381324480987
sce_37,BLBR,5,0,786,5.752757590827513
sce_37,BLBR,5,0,691,5.773133857174038
sce_37,BLBR,5,0,654,5.793510123520564
sce_37,BLBR,5,0,676,5.813886389867089
sce_37,BLBR,5,0,679,5.834262656213614
sce_37,BLBR,5,0,585,5.85463892256014
sce_37,BLBR,5,0,550,5.875015188906665
sce_37,BLBR,5,0,565,5.89539145525319
sce_37,BLBR,5,0,539,5.915767721599716
sce_37,BLBR,5,0,601,5.936143987946241
sce_37,BLBR,5,0,586,5.956520254292766
sce_37,BLBR,5,0,554,5.976896520639292
sce_37,BLBR,5,0,544,5.997272786985817
sce_37,BLBR,5,0,631,6.017649053332342
sce_37,BLBR,5,0,580,6.038025319678868
sce_37,BLBR,5,0,585,6.058401586025393
sce_37,BLBR,5,0,585,6.078777852371918
sce_37,BLBR,5,0,573,6.0991541187184435
sce_37,BLBR,5,0,556,6.1195303850649685
sce_37,BLBR,5,0,546,6.139906651411494
sce_37,BLBR,5,0,583,6.160282917758019
sce_37,BLBR,5,0,546,6.180659184104544
sce_37,BLBR,5,0,563,6.20103545045107
sce_37,BLBR,5,0,548,6.221411716797595
sce_37,BLBR,5,0,579,6.24178798314412
sce_37,BLBR,5,0,576,6.262164249490646
sce_37,BLBR,5,0,579,6.282540515837171
sce_37,BLBR,5,0,582,6.302916782183696
sce_37,BLBR,5,0,594,6.323293048530222
sce_37,BLBR,5,0,585,6.343669314876747
sce_37,BLBR,5,0,610,6.364045581223272
sce_37,BLBR,5,0,576,6.384421847569798
sce_37,BLBR,5,0,634,6.404798113916323
sce_37,BLBR,5,0,614,6.425174380262849
sce_37,BLBR,5,0,589,6.445550646609374
sce_37,BLBR,5,0,580,6.465926912955899
sce_37,BLBR,5,0,602,6.486303179302425
sce_37,BLBR,5,0,608,6.50667944564895
sce_37,BLBR,5,0,641,6.527055711995475
sce_37,BLBR,5,0,570,6.547431978342001
sce_37,BLBR,5,0,611,6.567808244688526
sce_37,BLBR,5,0,567,6.588184511035051
sce_37,BLBR,5,0,651,6.608560777381577
sce_37,BLBR,5,0,640,6.628937043728102
sce_37,BLBR,5,0,631,6.649313310074627
sce_37,BLBR,5,0,631,6.669689576421153
