species,iteration,timestep,scenario,numNodes,numLinks,totArea,meanArea,totQuality,meanQuality,totAreaQuality,meanAreaQuality,totCost,meanCost,overallECgap,overallECnatal
URAM,5,3,42,5395,14719,3590640900,665549.7497683039,3373.2294915784605,0.6252510642406784,21291095.899279848,3946.449656956413,3174338,215.66261294924928,8473080.555416565,20950942.577482965
URAM,5,4,42,5977,16118,3581074800,599142.5129663711,3777.434879909216,0.6319951279754419,21114332.42123045,3532.5970254693743,3363304,208.66757662240974,8414962.325657772,20776494.38898403
URAM,5,5,42,6025,16213,3572966700,593023.5186721992,3806.0923546199197,0.6317165733808996,20964987.86787113,3479.6660361611835,3366482,207.64090544624682,8284533.498841462,20637571.852117825
URAM,5,6,42,6070,16336,3574756800,588922.0428336079,3826.392223650002,0.6303776315733117,20860098.84251043,3436.5895951417506,3376114,206.6671155729677,8213125.638761728,20534464.42441461
URAM,5,7,42,6140,16498,3571071300,581607.7035830619,3880.364509130216,0.6319811904120873,20759635.875736114,3381.048188230637,3391488,205.56964480543098,8152561.846902487,20438837.2806083
URAM,5,8,42,6194,16577,3566583900,575812.7058443655,3912.1459313716146,0.6316025074865377,20686714.954341676,3339.7989916599413,3418140,206.19774386197744,8069917.758114809,20368146.311721984
URAM,5,9,42,6059,16204,3564591300,588313.4675689058,3820.9953506926727,0.6306313501720866,20633770.349112462,3405.474558361522,3350568,206.77412984448281,7636344.180065011,20316064.90782636
URAM,6,10,42,6046,16113,3559771800,588781.3099569964,3801.774478407262,0.6288082167395406,20598698.635654308,3406.996135569684,3353586,208.12921243716252,7655533.554122285,20286295.320962716
URAM,6,11,42,5923,15798,3557803500,600675.9243626541,3720.9673237078555,0.6282234211899131,20573908.734483097,3473.562170265591,3293444,208.47221167236356,7427528.753439299,20260582.31557205
URAM,6,2,42,4864,13542,3613612500,742930.2014802631,2997.6494334632557,0.6162930578666233,21576980.289209776,4436.0568028803,3027700,223.5784965293162,8524783.643631335,21227017.221099094
URAM,6,3,42,5821,15823,3587101200,616234.5301494589,3672.082197048662,0.6308335676084283,21306991.6245406,3660.3661955919256,3291448,208.01668457308978,8431204.919829728,20964269.332513265
URAM,6,4,42,6125,16536,3577948200,584154.8081632653,3880.019447855617,0.6334725629152027,21128746.35333328,3449.591241360535,3396146,205.3789308176101,8388816.814231189,20792470.970140252
URAM,6,5,42,6314,17023,3576376800,566420.1457079506,3999.562739312486,0.6334435760710304,21010244.831401758,3327.564908362648,3456814,203.0672619397286,8398813.362977246,20681781.90257762
URAM,6,6,42,6384,17231,3567110400,558757.8947368421,4054.3386696141993,0.6350781124082392,20873477.57273905,3269.6550082611293,3475632,201.7080842667286,8254603.002828312,20551959.17524742
URAM,6,7,42,6345,17053,3564688500,561810.6382978724,4031.458703236159,0.6353756821491189,20795915.21992763,3277.528009444859,3441678,201.8224359350261,8163913.7751792595,20477702.495292746
URAM,6,8,42,6229,16686,3558216600,571234.0022475518,3945.345985530107,0.633383526333297,20701247.31002436,3323.366079631459,3435000,205.8612010068321,8090005.1702948855,20388689.23619786
URAM,6,9,42,6106,16300,3560257800,583075.3029806748,3852.7324341742205,0.6309748500121554,20648296.079192318,3381.6403667199997,3376858,207.16920245398774,8035772.505520602,20342948.330190156
URAM,7,10,42,6280,16825,3557098800,566417.0063694267,3960.8560532844435,0.6307095626249114,20580066.511245005,3277.080654656848,3450468,205.07982169390786,7633976.173703567,20264105.65882392
URAM,7,11,42,6105,16375,3550173300,581518.9680589681,3844.053135359904,0.6296565332284855,20522782.93876555,3361.635207005004,3401884,207.74864122137402,7534278.095215564,20210979.024917033
