timestep,value,mean_count,sd_count,new_class,area,scenario
2010,6,25524,0,Wetlands,20674.440000000002,45
2010,11,44121,0,decid_1,35738.01,45
2010,12,257125,0,decid_2,208271.25,45
2010,13,4486,0,decid_3,3633.6600000000003,45
2010,21,9130,0,mixt_1,7395.3,45
2010,22,82930,0,mixt_2,67173.3,45
2010,23,3980,0,mixt_3,3223.8,45
2010,31,1183,0,conif_1,958.23,45
2010,32,17296,0,conif_2,14009.76,45
2010,33,4067,0,conif_3,3294.2700000000004,45
2100,1,731867.3,390.24039599542573,Agriculture,592812.513,45
2100,2,197227.9,377.7257823695209,Urban,159754.59900000002,45
2100,4,76245,0,Roads,61758.450000000004,45
2100,5,24666,0,Water,19979.460000000003,45
2100,6,25524,0,Wetlands,20674.440000000002,45
2100,11,9263.6,76.89849008776295,decid_1,7503.5160000000005,45
2100,12,234039.9,242.27644907786183,decid_2,189572.31900000002,45
2100,13,5366.6,137.17482762275785,decid_3,4346.946000000001,45
2100,21,2105.7,24.698403007302137,mixt_1,1705.617,45
2100,22,73891.4,214.44460564185073,mixt_2,59852.034,45
2100,23,3418.8,49.177230503557226,mixt_3,2769.2280000000005,45
2100,31,366.6,15.966631871917551,conif_1,296.946,45
2100,32,6141.4,63.64868856116012,conif_2,4974.534,45
2100,33,2593.8,28.498732915303055,conif_3,2100.978,45
2010,1,738488,0,Agriculture,598175.28,46
2010,2,103477,0,Urban,83816.37000000001,46
2010,4,76245,0,Roads,61758.450000000004,46
2010,5,24666,0,Water,19979.460000000003,46
2010,6,25524,0,Wetlands,20674.440000000002,46
2010,11,44121,0,decid_1,35738.01,46
2010,12,257125,0,decid_2,208271.25,46
2010,13,4486,0,decid_3,3633.6600000000003,46
2010,21,9130,0,mixt_1,7395.3,46
2010,22,82930,0,mixt_2,67173.3,46
2010,23,3980,0,mixt_3,3223.8,46
2010,31,1183,0,conif_1,958.23,46
2010,32,17296,0,conif_2,14009.76,46
2010,33,4067,0,conif_3,3294.2700000000004,46
2100,1,731525.3,326.94921454086557,Agriculture,592535.4930000001,46
2100,2,197301,372.835382202685,Urban,159813.81,46
2100,4,76245,0,Roads,61758.450000000004,46
2100,5,24666,0,Water,19979.460000000003,46
2100,6,25524,0,Wetlands,20674.440000000002,46
2100,11,8787.5,81.26397315744126,decid_1,7117.875000000001,46
2100,12,243205.2,437.82665265807856,decid_2,196996.21200000003,46
2100,13,11658.6,243.4936458217248,decid_3,9443.466,46
2100,21,1899.3,24.285569560726568,mixt_1,1538.433,46
2100,22,58034.7,257.0080197624623,mixt_2,47008.107,46
2100,23,4068.5,81.86472581847039,mixt_3,3295.485,46
2100,31,413.6,9.252026804976301,conif_1,335.016,46
2100,32,6359.1,28.144271175498577,conif_2,5150.871000000001,46
2100,33,3030.2,30.2941138397104,conif_3,2454.462,46
2010,1,738488,0,Agriculture,598175.28,47
