scenario,timestep,iter,species,kp_nb
47,8,3,PLCI,835
39,2,9,URAM,1078
39,4,9,MAAM,1264
47,8,10,PLCI,840
39,7,8,URAM,1135
44,8,4,BLBR,1145
48,10,3,PLCI,764
46,4,7,MAAM,1269
46,6,1,URAM,1091
40,2,4,MAAM,1325
41,5,7,RASY,872
46,11,2,URAM,1100
40,6,8,MAAM,1169
50,2,5,PLCI,1134
49,11,3,MAAM,1009
48,2,8,RASY,1077
39,6,4,MAAM,1189
41,4,10,URAM,952
47,7,7,URAM,847
46,6,1,BLBR,1116
40,10,10,RASY,945
41,6,6,MAAM,1188
45,6,6,BLBR,1128
44,6,2,BLBR,1181
46,6,7,URAM,1117
51,2,3,URAM,1078
49,7,4,URAM,876
43,9,4,PLCI,750
48,3,6,BLBR,1163
40,7,10,URAM,1085
52,7,1,RASY,878
51,9,1,BLBR,862
47,6,7,BLBR,963
38,3,2,MAAM,1313
50,9,1,MAAM,1187
38,2,2,BLBR,1218
52,11,2,MAAM,1074
41,6,7,URAM,865
51,10,8,RASY,736
51,10,7,BLBR,817
41,8,10,MAAM,1075
40,3,7,RASY,1045
40,10,10,URAM,1137
49,9,7,BLBR,811
41,10,1,MAAM,1056
40,4,6,BLBR,1167
40,9,8,URAM,1106
43,6,4,MAAM,1178
39,3,10,BLBR,1209
46,10,5,RASY,980
46,4,10,BLBR,1179
38,7,7,BLBR,1081
51,4,1,URAM,929
40,5,1,BLBR,1089
49,11,10,RASY,715
39,6,1,BLBR,1093
45,2,1,BLBR,1218
41,3,8,BLBR,1180
48,10,8,MAAM,1097
48,6,4,BLBR,980
41,2,7,RASY,1077
39,9,6,RASY,941
41,6,10,BLBR,974
51,9,7,MAAM,1135
46,8,4,BLBR,1091
51,9,4,URAM,864
47,9,9,RASY,782
52,9,4,MAAM,1121
38,4,9,RASY,1029
44,5,1,RASY,1051
43,3,6,URAM,981
50,10,3,MAAM,1143
45,6,3,PLCI,1073
39,9,3,MAAM,1138
42,4,9,URAM,979
51,3,1,RASY,1009
37,2,1,RASY,972
39,11,1,PLCI,944
51,9,5,BLBR,850
52,7,9,BLBR,950
37,0,4,RASY,975
48,2,7,PLCI,1134
40,10,8,MAAM,1077
52,5,9,URAM,916
48,2,6,RASY,1077
44,6,9,URAM,1107
40,8,6,RASY,967
50,4,8,PLCI,1010
43,11,8,MAAM,925
42,10,5,BLBR,739
46,5,9,BLBR,1153
50,7,3,PLCI,912
42,2,3,URAM,1078
49,8,5,RASY,777
51,8,1,PLCI,856
38,10,3,URAM,1169
48,4,7,PLCI,980
42,10,9,MAAM,963
47,8,1,MAAM,1185
41,3,3,MAAM,1269
52,5,10,URAM,918
52,2,4,PLCI,1134
49,8,4,MAAM,1117
39,6,8,URAM,1109
49,4,2,PLCI,963
45,4,9,RASY,1045
46,10,2,BLBR,1028
39,2,10,PLCI,1134
41,3,4,BLBR,1155
39,9,10,PLCI,993
42,10,6,URAM,766
39,5,8,PLCI,1100
41,7,3,RASY,807
40,8,6,MAAM,1166
47,5,8,PLCI,932
51,7,9,PLCI,888
46,3,4,PLCI,1116
48,4,2,PLCI,990
46,2,5,BLBR,1218
49,2,5,BLBR,1218
41,10,10,URAM,773
42,6,8,URAM,871
37,2,6,PLCI,1094
44,6,10,MAAM,1285
38,8,1,BLBR,1084
51,5,8,URAM,979
42,10,1,URAM,733
40,3,4,MAAM,1294
39,9,10,URAM,1129
46,3,6,RASY,1063
50,6,4,PLCI,966
46,2,1,BLBR,1218
48,7,1,URAM,867
52,2,7,PLCI,1134
43,6,1,PLCI,841
50,2,1,URAM,1078
41,5,1,BLBR,1046
38,6,6,RASY,1009
42,9,8,PLCI,747
38,8,8,RASY,996
42,10,9,PLCI,726
51,2,7,BLBR,1218
50,7,2,RASY,841
46,7,6,BLBR,1152
38,4,7,URAM,1091
38,8,5,URAM,1134
47,8,3,RASY,812
41,8,8,URAM,796
52,4,3,RASY,953
38,3,8,PLCI,1131
52,5,6,RASY,926
43,3,10,PLCI,1028
42,10,4,MAAM,991
48,7,3,PLCI,868
52,7,10,BLBR,945
38,10,10,MAAM,1130
46,3,5,URAM,1075
48,6,1,BLBR,965
43,7,4,BLBR,881
42,5,6,BLBR,986
44,5,7,BLBR,1194
48,4,9,BLBR,1037
49,2,3,MAAM,1325
51,8,2,RASY,821
49,10,7,RASY,704
45,5,3,URAM,1086
50,10,2,MAAM,1137
38,9,9,BLBR,1024
50,10,7,PLCI,825
46,9,7,PLCI,1015
47,9,1,PLCI,818
48,9,4,URAM,814
38,5,2,RASY,1026
43,8,6,RASY,735
38,4,7,BLBR,1205
38,3,2,PLCI,1109
41,11,6,MAAM,1082
38,3,4,MAAM,1318
41,10,3,URAM,749
49,3,6,BLBR,1129
38,2,5,BLBR,1218
48,6,2,MAAM,1231
39,10,2,MAAM,1081
47,6,2,URAM,857
49,3,9,RASY,1021
45,6,10,URAM,1119
40,3,6,BLBR,1205
42,10,8,MAAM,993
50,5,6,BLBR,1056
47,5,5,BLBR,1018
45,2,1,PLCI,1134
45,7,6,RASY,1019
48,11,3,PLCI,732
40,11,10,URAM,1132
48,2,10,MAAM,1325
40,10,10,PLCI,950
41,10,3,BLBR,789
38,4,2,PLCI,1132
45,5,5,MAAM,1284
47,11,7,MAAM,1116
52,8,3,URAM,868
43,7,8,BLBR,864
41,5,5,URAM,893
41,2,10,PLCI,1134
39,8,2,RASY,961
52,6,6,BLBR,992
39,9,4,MAAM,1107
42,7,4,URAM,809
38,9,4,BLBR,1049
45,11,3,URAM,1122
39,7,4,BLBR,1066
44,11,8,URAM,1098
46,11,2,MAAM,1132
51,6,5,PLCI,946
40,7,8,URAM,1096
43,3,5,BLBR,1142
50,6,10,URAM,892
46,4,7,PLCI,1092
50,11,4,MAAM,1123
49,8,6,RASY,799
38,11,8,BLBR,996
50,10,9,MAAM,1188
44,11,4,URAM,1087
52,11,8,BLBR,758
40,2,7,MAAM,1325
38,2,7,BLBR,1218
39,10,6,RASY,923
45,8,3,URAM,1142
41,7,7,BLBR,952
50,8,3,URAM,875
50,11,3,MAAM,1109
39,9,9,MAAM,1157
40,9,8,RASY,944
44,9,6,MAAM,1220
50,3,5,PLCI,1065
49,8,1,MAAM,1122
43,3,2,PLCI,1026
48,10,7,RASY,732
40,3,6,URAM,1086
49,7,2,BLBR,918
42,3,2,PLCI,1068
49,8,8,URAM,809
48,2,2,MAAM,1325
39,8,2,PLCI,994
45,9,6,PLCI,998
42,7,6,RASY,799
40,9,7,URAM,1134
41,11,3,PLCI,698
39,3,3,MAAM,1336
50,2,1,RASY,1077
51,5,3,BLBR,1039
42,9,1,BLBR,784
40,5,6,PLCI,1051
46,5,7,PLCI,1068
52,3,6,RASY,1023
52,10,3,URAM,825
41,11,1,RASY,670
45,3,7,BLBR,1215
51,7,2,MAAM,1183
41,4,2,RASY,914
45,4,7,RASY,1040
43,9,1,URAM,758
44,9,3,MAAM,1245
43,8,6,URAM,771
39,10,4,URAM,1151
38,4,5,MAAM,1273
49,4,5,BLBR,1053
51,3,6,BLBR,1149
42,9,1,MAAM,1030
47,4,10,RASY,946
42,7,1,PLCI,818
50,8,4,BLBR,942
41,2,3,PLCI,1134
47,7,9,URAM,835
46,8,7,RASY,984
47,7,3,MAAM,1175
40,9,1,BLBR,1010
44,6,1,RASY,1033
43,7,3,MAAM,1109
39,7,9,URAM,1099
48,11,5,URAM,744
45,10,5,MAAM,1149
47,3,8,MAAM,1294
52,8,9,RASY,817
52,4,4,PLCI,1028
37,0,10,RASY,975
40,2,1,PLCI,1134
51,4,9,MAAM,1261
51,8,3,PLCI,903
39,11,8,URAM,1126
42,11,3,BLBR,673
47,2,6,MAAM,1325
47,5,2,URAM,901
49,3,5,BLBR,1111
46,7,2,URAM,1095
46,9,6,PLCI,1020
40,11,4,MAAM,1065
50,11,10,PLCI,793
43,5,9,BLBR,995
51,4,1,RASY,954
40,10,3,MAAM,1066
46,10,2,URAM,1107
38,10,4,BLBR,1026
52,7,2,MAAM,1173
45,4,3,BLBR,1149
42,6,6,URAM,878
50,8,1,RASY,857
47,2,2,PLCI,1134
39,3,5,URAM,1090
39,7,3,MAAM,1226
47,6,5,RASY,851
38,9,7,PLCI,968
46,7,2,BLBR,1085
50,9,2,MAAM,1182
45,4,3,URAM,1072
45,8,1,URAM,1109
43,10,5,PLCI,723
45,6,7,BLBR,1156
45,7,2,BLBR,1107
43,5,6,RASY,842
41,6,8,RASY,813
45,3,1,BLBR,1197
41,3,2,BLBR,1140
44,6,10,PLCI,1089
48,5,5,RASY,889
42,3,1,URAM,1004
51,8,3,RASY,837
45,8,9,MAAM,1185
47,11,1,PLCI,749
52,9,1,URAM,850
40,7,2,MAAM,1188
44,2,1,PLCI,1134
46,3,8,PLCI,1115
39,9,7,PLCI,1009
42,3,3,PLCI,1061
52,7,2,PLCI,924
48,2,3,URAM,1078
39,4,10,URAM,1071
44,5,7,MAAM,1280
43,8,3,PLCI,787
45,2,4,URAM,1078
48,9,5,URAM,799
39,10,2,RASY,906
50,6,3,URAM,927
51,4,6,BLBR,1057
46,8,2,BLBR,1056
51,7,3,URAM,914
50,2,4,RASY,1077
51,11,6,URAM,762
46,8,10,RASY,1014
45,2,10,PLCI,1134
37,1,6,PLCI,1118
49,11,2,URAM,758
44,10,10,RASY,998
52,5,4,MAAM,1250
49,3,6,MAAM,1296
50,8,4,URAM,883
41,4,3,PLCI,1014
48,8,6,URAM,844
41,3,2,RASY,971
40,9,5,MAAM,1140
52,4,3,URAM,939
52,3,1,MAAM,1268
39,11,9,MAAM,1065
39,5,3,PLCI,1059
41,8,4,BLBR,886
44,4,10,MAAM,1295
51,9,6,RASY,802
40,2,7,RASY,1077
48,5,8,PLCI,952
47,10,5,RASY,753
49,7,7,RASY,835
40,4,5,MAAM,1292
46,11,8,URAM,1091
49,11,8,MAAM,1051
49,8,5,BLBR,860
49,11,10,MAAM,1065
41,11,5,MAAM,1025
48,7,7,URAM,837
41,11,2,URAM,711
40,11,4,BLBR,991
51,5,2,PLCI,960
48,11,1,PLCI,728
39,11,7,RASY,919
