TransitionGroupID,Timestep,TertiaryStratumID,Amount,srcClassID,destClassID
decid_1_to_mixt_2 [Type],0,6,0.002060472513959355,11,22
decid_2_to_mixt_2 [Type],0,6,0.0020972040757377686,12,22
decid_3_to_mixt_2 [Type],0,6,1.1473811064099948e-4,13,22
mixt_1_to_mixt_2 [Type],0,6,0.032086951166018896,21,22
mixt_3_to_mixt_2 [Type],0,6,0.38041444826063686,23,22
conif_1_to_mixt_2 [Type],0,6,0,31,22
conif_2_to_mixt_2 [Type],0,6,0.14680211724875447,32,22
conif_3_to_mixt_2 [Type],0,6,0.10514726277459652,33,22
decid_1_to_mixt_3 [Type],0,6,0,11,23
decid_2_to_mixt_3 [Type],0,6,4.707987102725575e-5,12,23
decid_3_to_mixt_3 [Type],0,6,0,13,23
mixt_1_to_mixt_3 [Type],0,6,0,21,23
mixt_2_to_mixt_3 [Type],0,6,0.01998990305969428,22,23
conif_1_to_mixt_3 [Type],0,6,0,31,23
conif_2_to_mixt_3 [Type],0,6,0.001483680342337368,32,23
conif_3_to_mixt_3 [Type],0,6,0.02440958914809288,33,23
decid_1_to_conif_1 [Type],0,6,0,11,31
decid_2_to_conif_1 [Type],0,6,0,12,31
decid_3_to_conif_1 [Type],0,6,0,13,31
mixt_1_to_conif_1 [Type],0,6,0,21,31
mixt_2_to_conif_1 [Type],0,6,0,22,31
mixt_3_to_conif_1 [Type],0,6,0,23,31
conif_2_to_conif_1 [Type],0,6,0.0595964779496756,32,31
conif_3_to_conif_1 [Type],0,6,0.09107638825933506,33,31
decid_1_to_conif_2 [Type],0,6,0,11,32
decid_2_to_conif_2 [Type],0,6,0,12,32
decid_3_to_conif_2 [Type],0,6,0,13,32
mixt_1_to_conif_2 [Type],0,6,0,21,32
mixt_2_to_conif_2 [Type],0,6,0.0015754539210819374,22,32
mixt_3_to_conif_2 [Type],0,6,0,23,32
conif_1_to_conif_2 [Type],0,6,0.009226235177159925,31,32
conif_3_to_conif_2 [Type],0,6,0.18609794924490453,33,32
decid_1_to_conif_3 [Type],0,6,0,11,33
decid_2_to_conif_3 [Type],0,6,0,12,33
decid_3_to_conif_3 [Type],0,6,0,13,33
mixt_1_to_conif_3 [Type],0,6,0,21,33
mixt_2_to_conif_3 [Type],0,6,6.748904071964823e-4,22,33
mixt_3_to_conif_3 [Type],0,6,0,23,33
conif_1_to_conif_3 [Type],0,6,0,31,33
conif_2_to_conif_3 [Type],0,6,0.022491632086838798,32,33
decid_2_to_decid_1 [Type],0,7,0.08013378899220025,12,11
decid_3_to_decid_1 [Type],0,7,0.036442191991636674,13,11
mixt_1_to_decid_1 [Type],0,7,0.054339845529429054,21,11
mixt_2_to_decid_1 [Type],0,7,0.03408101687835263,22,11
mixt_3_to_decid_1 [Type],0,7,0.0022962142816650433,23,11
conif_1_to_decid_1 [Type],0,7,0,31,11
conif_2_to_decid_1 [Type],0,7,0.00574038171502278,32,11
conif_3_to_decid_1 [Type],0,7,0,33,11
decid_1_to_decid_2 [Type],0,7,0.12140250371572192,11,12
decid_3_to_decid_2 [Type],0,7,0.4951044671364718,13,12
mixt_1_to_decid_2 [Type],0,7,0.00662990735116098,21,12
mixt_2_to_decid_2 [Type],0,7,0.0596260163378195,22,12
mixt_3_to_decid_2 [Type],0,7,0.18163286317069038,23,12
conif_1_to_decid_2 [Type],0,7,0,31,12
conif_2_to_decid_2 [Type],0,7,0.0016849211631647654,32,12
conif_3_to_decid_2 [Type],0,7,0,33,12
decid_1_to_decid_3 [Type],0,7,0,11,13
decid_2_to_decid_3 [Type],0,7,0.02569689141105458,12,13
mixt_1_to_decid_3 [Type],0,7,0,21,13
mixt_2_to_decid_3 [Type],0,7,0.0022473880946346503,22,13
mixt_3_to_decid_3 [Type],0,7,0.0542223237758056,23,13
conif_1_to_decid_3 [Type],0,7,0,31,13
conif_2_to_decid_3 [Type],0,7,0,32,13
conif_3_to_decid_3 [Type],0,7,0.0013976247221246796,33,13
decid_1_to_mixt_1 [Type],0,7,0.0057661986289360145,11,21
decid_2_to_mixt_1 [Type],0,7,0.0025434851054679797,12,21
decid_3_to_mixt_1 [Type],0,7,0,13,21
mixt_2_to_mixt_1 [Type],0,7,0.17045990817558976,22,21
mixt_3_to_mixt_1 [Type],0,7,0.0022962142816650433,23,21
conif_1_to_mixt_1 [Type],0,7,0.5431037221051052,31,21
conif_2_to_mixt_1 [Type],0,7,0.06544092032623594,32,21
conif_3_to_mixt_1 [Type],0,7,0.06945081392250041,33,21
decid_1_to_mixt_2 [Type],0,7,3.194718147658815e-4,11,22
decid_2_to_mixt_2 [Type],0,7,0.003799705463990777,12,22
decid_3_to_mixt_2 [Type],0,7,0,13,22
mixt_1_to_mixt_2 [Type],0,7,0.038173543637631924,21,22
mixt_3_to_mixt_2 [Type],0,7,0.2642796702076766,23,22
conif_1_to_mixt_2 [Type],0,7,0,31,22
conif_2_to_mixt_2 [Type],0,7,0.1366029039575446,32,22
conif_3_to_mixt_2 [Type],0,7,0.0739644178319383,33,22
decid_1_to_mixt_3 [Type],0,7,0,11,23
decid_2_to_mixt_3 [Type],0,7,0,12,23
decid_3_to_mixt_3 [Type],0,7,0,13,23
mixt_1_to_mixt_3 [Type],0,7,0,21,23
mixt_2_to_mixt_3 [Type],0,7,0.017947272287833105,22,23
conif_1_to_mixt_3 [Type],0,7,0,31,23
conif_2_to_mixt_3 [Type],0,7,0.0013477095072592649,32,23
conif_3_to_mixt_3 [Type],0,7,0.00771129629105427,33,23
decid_1_to_conif_1 [Type],0,7,0,11,31
decid_2_to_conif_1 [Type],0,7,0,12,31
decid_3_to_conif_1 [Type],0,7,0,13,31
mixt_1_to_conif_1 [Type],0,7,0,21,31
mixt_2_to_conif_1 [Type],0,7,3.454231536561547e-4,22,31
mixt_3_to_conif_1 [Type],0,7,0,23,31
conif_2_to_conif_1 [Type],0,7,0.05754815071777375,32,31
conif_3_to_conif_1 [Type],0,7,0.11878702185614509,33,31
decid_1_to_conif_2 [Type],0,7,0,11,32
decid_2_to_conif_2 [Type],0,7,0,12,32
decid_3_to_conif_2 [Type],0,7,0,13,32
mixt_1_to_conif_2 [Type],0,7,0,21,32
mixt_2_to_conif_2 [Type],0,7,0.0031131172050733458,22,32
mixt_3_to_conif_2 [Type],0,7,0,23,32
conif_1_to_conif_2 [Type],0,7,0.011854779685204098,31,32
conif_3_to_conif_2 [Type],0,7,0.2169747822578687,33,32
decid_1_to_conif_3 [Type],0,7,0,11,33
decid_2_to_conif_3 [Type],0,7,0,12,33
decid_3_to_conif_3 [Type],0,7,0,13,33
mixt_1_to_conif_3 [Type],0,7,0,21,33
mixt_2_to_conif_3 [Type],0,7,0.0013824095083386778,22,33
mixt_3_to_conif_3 [Type],0,7,0,23,33
