StratumID,TransitionGroupID,Amount,Timestep,TertiaryStratumID,srcClassID,destClassID
NA,decid_2_to_mixt_1 [Type],0.0030148502114321074,0,8,12,21
NA,decid_3_to_mixt_1 [Type],4.8181163962879303e-4,0,8,13,21
NA,mixt_2_to_mixt_1 [Type],0.1514470177013647,0,8,22,21
NA,mixt_3_to_mixt_1 [Type],0.006680389402660136,0,8,23,21
NA,conif_1_to_mixt_1 [Type],0.6594177658990124,0,8,31,21
NA,conif_2_to_mixt_1 [Type],0.039919835766865974,0,8,32,21
NA,conif_3_to_mixt_1 [Type],0.01575465520193553,0,8,33,21
NA,decid_1_to_mixt_2 [Type],8.387755355244719e-4,0,8,11,22
NA,decid_2_to_mixt_2 [Type],0.00625714599768179,0,8,12,22
NA,decid_3_to_mixt_2 [Type],9.638556456543768e-4,0,8,13,22
NA,mixt_1_to_mixt_2 [Type],0.029291776287827864,0,8,21,22
NA,mixt_3_to_mixt_2 [Type],0.41488979508981894,0,8,23,22
NA,conif_1_to_mixt_2 [Type],0,0,8,31,22
NA,conif_2_to_mixt_2 [Type],0.22633107948968312,0,8,32,22
NA,conif_3_to_mixt_2 [Type],0.2176457626157393,0,8,33,22
NA,decid_1_to_mixt_3 [Type],0,0,8,11,23
NA,decid_2_to_mixt_3 [Type],9.039997469040273e-6,0,8,12,23
NA,decid_3_to_mixt_3 [Type],2.4087679501549886e-4,0,8,13,23
NA,mixt_1_to_mixt_3 [Type],0,0,8,21,23
NA,mixt_2_to_mixt_3 [Type],0.011978211876520595,0,8,22,23
NA,conif_1_to_mixt_3 [Type],0,0,8,31,23
NA,conif_2_to_mixt_3 [Type],0.005021110785264016,0,8,32,23
NA,conif_3_to_mixt_3 [Type],0.008204169294598218,0,8,33,23
NA,decid_1_to_conif_1 [Type],0,0,8,11,31
NA,decid_2_to_conif_1 [Type],0,0,8,12,31
NA,decid_3_to_conif_1 [Type],0,0,8,13,31
NA,mixt_1_to_conif_1 [Type],0,0,8,21,31
NA,mixt_2_to_conif_1 [Type],2.635582809064063e-4,0,8,22,31
NA,mixt_3_to_conif_1 [Type],0,0,8,23,31
NA,conif_2_to_conif_1 [Type],0.03854281197760845,0,8,32,31
NA,conif_3_to_conif_1 [Type],0.03176562883084888,0,8,33,31
NA,decid_1_to_conif_2 [Type],0,0,8,11,32
NA,decid_2_to_conif_2 [Type],0,0,8,12,32
NA,decid_3_to_conif_2 [Type],0,0,8,13,32
NA,mixt_1_to_conif_2 [Type],0,0,8,21,32
NA,mixt_2_to_conif_2 [Type],0.0011985525797005847,0,8,22,32
NA,mixt_3_to_conif_2 [Type],0,0,8,23,32
NA,conif_1_to_conif_2 [Type],0.0056285625283201135,0,8,31,32
